command	profile	checkpoint	source	heading	reason	observed_words	repeat_classification	authority	dynamic	charged
/tfw-plan	after	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-plan	after	command dispatch	.agents/skills/tfw-plan/SKILL.md	*	selected command contract	141	once	adapter	False	True
/tfw-plan	after	canonical dispatch	.tfw/workflows/plan.md	*	canonical command algorithm	2183	once	workflow	False	True
/tfw-plan	after	workflow read contract	.tfw/project_config.yaml	*	task container, knowledge mode, budgets, templates	540	once	project config	False	True
/tfw-plan	after	workflow read contract	.tfw/conventions.md	Task control files	identity, topology, lifecycle, scope, writer authority	167	once	shared rule	False	True
/tfw-plan	after	workflow read contract	.tfw/conventions.md	Artifact file naming	identity, topology, lifecycle, scope, writer authority	554	repeated	shared rule	False	True
/tfw-plan	after	workflow read contract	.tfw/conventions.md	Research subfolder	identity, topology, lifecycle, scope, writer authority	295	repeated	shared rule	False	True
/tfw-plan	after	workflow read contract	.tfw/conventions.md	Review subfolder	identity, topology, lifecycle, scope, writer authority	43	repeated	shared rule	False	True
/tfw-plan	after	workflow read contract	.tfw/conventions.md	Evidence subfolder	identity, topology, lifecycle, scope, writer authority	54	repeated	shared rule	False	True
/tfw-plan	after	workflow read contract	.tfw/conventions.md	Multi-phase folder structure	identity, topology, lifecycle, scope, writer authority	71	repeated	shared rule	False	True
/tfw-plan	after	workflow read contract	.tfw/conventions.md	Task Statuses	identity, topology, lifecycle, scope, writer authority	1042	repeated	shared rule	False	True
/tfw-plan	after	workflow read contract	.tfw/conventions.md	A phase carries its own state	identity, topology, lifecycle, scope, writer authority	612	repeated	shared rule	False	True
/tfw-plan	after	workflow read contract	.tfw/conventions.md	Scope Budgets (per Phase)	identity, topology, lifecycle, scope, writer authority	96	repeated	shared rule	False	True
/tfw-plan	after	workflow read contract	.tfw/conventions.md	Role Lock Protocol	identity, topology, lifecycle, scope, writer authority	591	repeated	shared rule	False	True
/tfw-plan	after	workflow read contract	.tfw/glossary.md	Project Values (PV)	independent P0–P4 scan and relevant P5–P7 routing	243	once	routing index	False	True
/tfw-plan	after	workflow read contract	.tfw/templates/HL.md	*	output form	1994	once	template	False	True
/tfw-plan	after	workflow read contract	.tfw/templates/TS.md	*	output form	533	once	template	False	True
/tfw-plan	after	P0-P4 scan	README.md	@preamble	independent Project North Star and architecture scan	263	once	project authority	False	True
/tfw-plan	after	P0-P4 scan	README.md	How It Works	independent Project North Star and architecture scan	176	repeated	project authority	False	True
/tfw-plan	after	P0-P4 scan	.tfw/README.md	NS1 — Purpose	independent Project North Star and architecture scan	91	once	project authority	False	True
/tfw-plan	after	P0-P4 scan	.tfw/README.md	NS2 — Principles	independent Project North Star and architecture scan	331	repeated	project authority	False	True
/tfw-plan	after	P0-P4 scan	.tfw/README.md	Methodology values	independent Project North Star and architecture scan	181	repeated	project authority	False	True
/tfw-plan	after	P0-P4 scan	.tfw/README.md	NS3 — Non-goals	independent Project North Star and architecture scan	92	repeated	project authority	False	True
/tfw-plan	after	P0-P4 scan	.tfw/README.md	Success Criteria	independent Project North Star and architecture scan	126	repeated	project authority	False	True
/tfw-plan	after	P0-P4 scan	knowledge/philosophy.md	*	independent Project North Star and architecture scan	3134	once	project authority	False	True
/tfw-plan	after	P0-P4 scan	KNOWLEDGE.md	Architecture Map	independent Project North Star and architecture scan	8686	once	project authority	False	True
/tfw-plan	after	P0-P4 scan	.tfw/conventions.md	HL (High Level)	independent Project North Star and architecture scan	847	repeated	project authority	False	True
/tfw-plan	after	P0-P4 scan	.tfw/conventions.md	Design Rules	independent Project North Star and architecture scan	131	repeated	project authority	False	True
/tfw-plan	after	P0-P4 scan	.tfw/conventions.md	Anti-patterns (prohibited)	independent Project North Star and architecture scan	1058	repeated	project authority	False	True
/tfw-plan	after	task selection	<selected task artifacts>	@dynamic	task-specific context selected by planning steps	0	once	named source	True	False
TOTAL	/tfw-plan	before=24730	after=24638	reduction=0.4%
/tfw-research:focused	before	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-research:focused	before	command dispatch	.agents/skills/tfw-research/SKILL.md	*	selected command contract	150	once	adapter	False	True
/tfw-research:focused	before	canonical dispatch	.tfw/workflows/research/base.md	*	canonical command algorithm	1304	once	workflow	False	True
/tfw-research:focused	before	workflow read contract	.tfw/project_config.yaml	@yaml-research	mode and limits	33	once	project config	False	True
/tfw-research:focused	before	workflow read contract	.tfw/conventions.md	HL (High Level)	contract boundary, attributed writes, candidate routing, prohibitions	847	once	shared rule	False	True
/tfw-research:focused	before	workflow read contract	.tfw/conventions.md	Commit Attribution	contract boundary, attributed writes, candidate routing, prohibitions	81	repeated	shared rule	False	True
/tfw-research:focused	before	workflow read contract	.tfw/conventions.md	Fact Categories	contract boundary, attributed writes, candidate routing, prohibitions	174	repeated	shared rule	False	True
/tfw-research:focused	before	workflow read contract	.tfw/conventions.md	Anti-patterns (prohibited)	contract boundary, attributed writes, candidate routing, prohibitions	1058	repeated	shared rule	False	True
/tfw-research:focused	before	workflow read contract	.tfw/templates/RES.md	*	mode behavior and output form	925	once	workflow/template	False	True
/tfw-research:focused	before	context validation	.tfw/conventions.md	Context Selection	address resolution and hard stop	180	repeated	shared rule	False	True
/tfw-research:focused	before	mode selection	.tfw/workflows/research/focused.md	*	selected research mode	106	once	workflow	False	True
/tfw-research:focused	before	stage gate	.tfw/templates/research/1_briefing.md	*	stage output form	141	once	template	False	True
/tfw-research:focused	before	stage gate	.tfw/templates/research/2_gather.md	*	stage output form	238	once	template	False	True
/tfw-research:focused	before	stage gate	.tfw/templates/research/3_extract.md	*	stage output form	252	once	template	False	True
/tfw-research:focused	before	stage gate	.tfw/templates/research/4_challenge.md	*	stage output form	251	once	template	False	True
/tfw-research:focused	before	iteration state	<selected status, journal, and iteration artifacts>	@dynamic	resume and lineage state	0	once	task-local	True	False
/tfw-research:focused	after	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-research:focused	after	command dispatch	.agents/skills/tfw-research/SKILL.md	*	selected command contract	150	once	adapter	False	True
/tfw-research:focused	after	canonical dispatch	.tfw/workflows/research/base.md	*	canonical command algorithm	1304	once	workflow	False	True
/tfw-research:focused	after	workflow read contract	.tfw/project_config.yaml	@yaml-research	mode and limits	33	once	project config	False	True
/tfw-research:focused	after	workflow read contract	.tfw/conventions.md	HL (High Level)	contract boundary, attributed writes, candidate routing, prohibitions	847	once	shared rule	False	True
/tfw-research:focused	after	workflow read contract	.tfw/conventions.md	Commit Attribution	contract boundary, attributed writes, candidate routing, prohibitions	81	repeated	shared rule	False	True
/tfw-research:focused	after	workflow read contract	.tfw/conventions.md	Fact Categories	contract boundary, attributed writes, candidate routing, prohibitions	174	repeated	shared rule	False	True
/tfw-research:focused	after	workflow read contract	.tfw/conventions.md	Anti-patterns (prohibited)	contract boundary, attributed writes, candidate routing, prohibitions	1058	repeated	shared rule	False	True
/tfw-research:focused	after	workflow read contract	.tfw/templates/RES.md	*	mode behavior and output form	925	once	workflow/template	False	True
/tfw-research:focused	after	context validation	.tfw/conventions.md	Context Selection	address resolution and hard stop	180	repeated	shared rule	False	True
/tfw-research:focused	after	mode selection	.tfw/workflows/research/focused.md	*	selected research mode	106	once	workflow	False	True
/tfw-research:focused	after	stage gate	.tfw/templates/research/1_briefing.md	*	stage output form	141	once	template	False	True
/tfw-research:focused	after	stage gate	.tfw/templates/research/2_gather.md	*	stage output form	238	once	template	False	True
/tfw-research:focused	after	stage gate	.tfw/templates/research/3_extract.md	*	stage output form	252	once	template	False	True
/tfw-research:focused	after	stage gate	.tfw/templates/research/4_challenge.md	*	stage output form	251	once	template	False	True
/tfw-research:focused	after	iteration state	<selected status, journal, and iteration artifacts>	@dynamic	resume and lineage state	0	once	task-local	True	False
TOTAL	/tfw-research:focused	before=6103	after=6103	reduction=0.0%
/tfw-research:deep	before	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-research:deep	before	command dispatch	.agents/skills/tfw-research/SKILL.md	*	selected command contract	150	once	adapter	False	True
/tfw-research:deep	before	canonical dispatch	.tfw/workflows/research/base.md	*	canonical command algorithm	1304	once	workflow	False	True
/tfw-research:deep	before	workflow read contract	.tfw/project_config.yaml	@yaml-research	mode and limits	33	once	project config	False	True
/tfw-research:deep	before	workflow read contract	.tfw/conventions.md	HL (High Level)	contract boundary, attributed writes, candidate routing, prohibitions	847	once	shared rule	False	True
/tfw-research:deep	before	workflow read contract	.tfw/conventions.md	Commit Attribution	contract boundary, attributed writes, candidate routing, prohibitions	81	repeated	shared rule	False	True
/tfw-research:deep	before	workflow read contract	.tfw/conventions.md	Fact Categories	contract boundary, attributed writes, candidate routing, prohibitions	174	repeated	shared rule	False	True
/tfw-research:deep	before	workflow read contract	.tfw/conventions.md	Anti-patterns (prohibited)	contract boundary, attributed writes, candidate routing, prohibitions	1058	repeated	shared rule	False	True
/tfw-research:deep	before	workflow read contract	.tfw/templates/RES.md	*	mode behavior and output form	925	once	workflow/template	False	True
/tfw-research:deep	before	context validation	.tfw/conventions.md	Context Selection	address resolution and hard stop	180	repeated	shared rule	False	True
/tfw-research:deep	before	mode selection	.tfw/workflows/research/deep.md	*	selected research mode	171	once	workflow	False	True
/tfw-research:deep	before	stage gate	.tfw/templates/research/1_briefing.md	*	stage output form	141	once	template	False	True
/tfw-research:deep	before	stage gate	.tfw/templates/research/2_gather.md	*	stage output form	238	once	template	False	True
/tfw-research:deep	before	stage gate	.tfw/templates/research/3_extract.md	*	stage output form	252	once	template	False	True
/tfw-research:deep	before	stage gate	.tfw/templates/research/4_challenge.md	*	stage output form	251	once	template	False	True
/tfw-research:deep	before	iteration state	<selected status, journal, and iteration artifacts>	@dynamic	resume and lineage state	0	once	task-local	True	False
/tfw-research:deep	after	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-research:deep	after	command dispatch	.agents/skills/tfw-research/SKILL.md	*	selected command contract	150	once	adapter	False	True
/tfw-research:deep	after	canonical dispatch	.tfw/workflows/research/base.md	*	canonical command algorithm	1304	once	workflow	False	True
/tfw-research:deep	after	workflow read contract	.tfw/project_config.yaml	@yaml-research	mode and limits	33	once	project config	False	True
/tfw-research:deep	after	workflow read contract	.tfw/conventions.md	HL (High Level)	contract boundary, attributed writes, candidate routing, prohibitions	847	once	shared rule	False	True
/tfw-research:deep	after	workflow read contract	.tfw/conventions.md	Commit Attribution	contract boundary, attributed writes, candidate routing, prohibitions	81	repeated	shared rule	False	True
/tfw-research:deep	after	workflow read contract	.tfw/conventions.md	Fact Categories	contract boundary, attributed writes, candidate routing, prohibitions	174	repeated	shared rule	False	True
/tfw-research:deep	after	workflow read contract	.tfw/conventions.md	Anti-patterns (prohibited)	contract boundary, attributed writes, candidate routing, prohibitions	1058	repeated	shared rule	False	True
/tfw-research:deep	after	workflow read contract	.tfw/templates/RES.md	*	mode behavior and output form	925	once	workflow/template	False	True
/tfw-research:deep	after	context validation	.tfw/conventions.md	Context Selection	address resolution and hard stop	180	repeated	shared rule	False	True
/tfw-research:deep	after	mode selection	.tfw/workflows/research/deep.md	*	selected research mode	171	once	workflow	False	True
/tfw-research:deep	after	stage gate	.tfw/templates/research/1_briefing.md	*	stage output form	141	once	template	False	True
/tfw-research:deep	after	stage gate	.tfw/templates/research/2_gather.md	*	stage output form	238	once	template	False	True
/tfw-research:deep	after	stage gate	.tfw/templates/research/3_extract.md	*	stage output form	252	once	template	False	True
/tfw-research:deep	after	stage gate	.tfw/templates/research/4_challenge.md	*	stage output form	251	once	template	False	True
/tfw-research:deep	after	iteration state	<selected status, journal, and iteration artifacts>	@dynamic	resume and lineage state	0	once	task-local	True	False
TOTAL	/tfw-research:deep	before=6168	after=6168	reduction=0.0%
/tfw-handoff	before	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-handoff	before	command dispatch	.agents/skills/tfw-handoff/SKILL.md	*	selected command contract	160	once	adapter	False	True
/tfw-handoff	before	canonical dispatch	.tfw/workflows/handoff.md	*	canonical command algorithm	1751	once	workflow	False	True
/tfw-handoff	before	workflow read contract	.tfw/project_config.yaml	@scope-values	implementation-surface ceiling	5	once	project configuration	False	True
/tfw-handoff	before	workflow read contract	.tfw/conventions.md	Task control files	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	259	once	shared rule	False	True
/tfw-handoff	before	workflow read contract	.tfw/conventions.md	Artifact file naming	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	554	repeated	shared rule	False	True
/tfw-handoff	before	workflow read contract	.tfw/conventions.md	Task Statuses	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	1042	repeated	shared rule	False	True
/tfw-handoff	before	workflow read contract	.tfw/conventions.md	Safety and Execution Honesty	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	60	repeated	shared rule	False	True
/tfw-handoff	before	workflow read contract	.tfw/conventions.md	Anti-patterns (prohibited)	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	1058	repeated	shared rule	False	True
/tfw-handoff	before	workflow read contract	.tfw/templates/ONB.md	*	output form	258	once	template	False	True
/tfw-handoff	before	workflow read contract	.tfw/templates/evidence/EV.md	*	output form	267	once	template	False	True
/tfw-handoff	before	workflow read contract	.tfw/templates/RF.md	*	output form	589	once	template	False	True
/tfw-handoff	before	execution input	<selected status, journal, HL, TS, RF, and REVIEW lineage>	@dynamic	governing order and revision state	0	once	task-local/governing artifacts	True	False
/tfw-handoff	after	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-handoff	after	command dispatch	.agents/skills/tfw-handoff/SKILL.md	*	selected command contract	160	once	adapter	False	True
/tfw-handoff	after	canonical dispatch	.tfw/workflows/handoff.md	*	canonical command algorithm	1751	once	workflow	False	True
/tfw-handoff	after	workflow read contract	.tfw/project_config.yaml	@scope-values	implementation-surface ceiling	5	once	project configuration	False	True
/tfw-handoff	after	workflow read contract	.tfw/conventions.md	Task control files	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	167	once	shared rule	False	True
/tfw-handoff	after	workflow read contract	.tfw/conventions.md	Artifact file naming	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	554	repeated	shared rule	False	True
/tfw-handoff	after	workflow read contract	.tfw/conventions.md	Task Statuses	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	1042	repeated	shared rule	False	True
/tfw-handoff	after	workflow read contract	.tfw/conventions.md	Safety and Execution Honesty	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	60	repeated	shared rule	False	True
/tfw-handoff	after	workflow read contract	.tfw/conventions.md	Anti-patterns (prohibited)	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	1058	repeated	shared rule	False	True
/tfw-handoff	after	workflow read contract	.tfw/templates/ONB.md	*	output form	258	once	template	False	True
/tfw-handoff	after	workflow read contract	.tfw/templates/evidence/EV.md	*	output form	267	once	template	False	True
/tfw-handoff	after	workflow read contract	.tfw/templates/RF.md	*	output form	589	once	template	False	True
/tfw-handoff	after	execution input	<selected status, journal, HL, TS, RF, and REVIEW lineage>	@dynamic	governing order and revision state	0	once	task-local/governing artifacts	True	False
TOTAL	/tfw-handoff	before=6366	after=6274	reduction=1.4%
/tfw-review	before	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-review	before	command dispatch	.agents/skills/tfw-review/SKILL.md	*	selected command contract	155	once	adapter	False	True
/tfw-review	before	canonical dispatch	.tfw/workflows/review.md	*	canonical command algorithm	1894	once	workflow	False	True
/tfw-review	before	workflow read contract	.tfw/project_config.yaml	@review-value-comment	verify claims, evidence, and citations independently	13	once	files/config/routing index/named PV sources	False	True
/tfw-review	before	workflow read contract	.tfw/glossary.md	Project Values (PV)	verify claims, evidence, and citations independently	243	once	files/config/routing index/named PV sources	False	True
/tfw-review	before	workflow read contract	.tfw/conventions.md	Task control files	verdict, citation bar, dispositions, routing, and trace effects	259	once	stage evidence/shared rule/template	False	True
/tfw-review	before	workflow read contract	.tfw/conventions.md	Artifact file naming	verdict, citation bar, dispositions, routing, and trace effects	554	repeated	stage evidence/shared rule/template	False	True
/tfw-review	before	workflow read contract	.tfw/conventions.md	Task Statuses	verdict, citation bar, dispositions, routing, and trace effects	1042	repeated	stage evidence/shared rule/template	False	True
/tfw-review	before	workflow read contract	.tfw/conventions.md	The 🔄 REVISE route	verdict, citation bar, dispositions, routing, and trace effects	431	repeated	stage evidence/shared rule/template	False	True
/tfw-review	before	workflow read contract	.tfw/conventions.md	Safety and Execution Honesty	verdict, citation bar, dispositions, routing, and trace effects	60	repeated	stage evidence/shared rule/template	False	True
/tfw-review	before	workflow read contract	.tfw/conventions.md	Trace Discipline	verdict, citation bar, dispositions, routing, and trace effects	138	repeated	stage evidence/shared rule/template	False	True
/tfw-review	before	workflow read contract	.tfw/conventions.md	Role Lock Protocol	verdict, citation bar, dispositions, routing, and trace effects	591	repeated	stage evidence/shared rule/template	False	True
/tfw-review	before	workflow read contract	.tfw/templates/REVIEW.md	*	verdict, citation bar, dispositions, routing, and trace effects	1158	once	stage evidence/shared rule/template	False	True
/tfw-review	before	review stage gate	.tfw/templates/review/map.md	*	review output form	159	once	template	False	True
/tfw-review	before	review stage gate	.tfw/templates/review/verify.md	*	review output form	714	once	template	False	True
/tfw-review	before	review stage gate	.tfw/templates/review/judge.md	*	review output form	1339	once	template	False	True
/tfw-review	before	independent P0-P4 scan	README.md	@preamble	verify implementation against project values	263	once	project authority	False	True
/tfw-review	before	independent P0-P4 scan	README.md	How It Works	verify implementation against project values	176	repeated	project authority	False	True
/tfw-review	before	independent P0-P4 scan	.tfw/README.md	NS1 — Purpose	verify implementation against project values	91	once	project authority	False	True
/tfw-review	before	independent P0-P4 scan	.tfw/README.md	NS2 — Principles	verify implementation against project values	331	repeated	project authority	False	True
/tfw-review	before	independent P0-P4 scan	.tfw/README.md	Methodology values	verify implementation against project values	181	repeated	project authority	False	True
/tfw-review	before	independent P0-P4 scan	.tfw/README.md	NS3 — Non-goals	verify implementation against project values	92	repeated	project authority	False	True
/tfw-review	before	independent P0-P4 scan	.tfw/README.md	Success Criteria	verify implementation against project values	126	repeated	project authority	False	True
/tfw-review	before	independent P0-P4 scan	knowledge/philosophy.md	*	verify implementation against project values	3134	once	project authority	False	True
/tfw-review	before	independent P0-P4 scan	KNOWLEDGE.md	Architecture Map	verify implementation against project values	8686	once	project authority	False	True
/tfw-review	before	independent P0-P4 scan	.tfw/conventions.md	HL (High Level)	verify implementation against project values	847	repeated	project authority	False	True
/tfw-review	before	independent P0-P4 scan	.tfw/conventions.md	Design Rules	verify implementation against project values	131	repeated	project authority	False	True
/tfw-review	before	independent P0-P4 scan	.tfw/conventions.md	Anti-patterns (prohibited)	verify implementation against project values	1058	repeated	project authority	False	True
/tfw-review	before	Purpose Check reread	README.md	@preamble	independent frozen-purpose judgment	263	repeated	project authority	False	True
/tfw-review	before	Purpose Check reread	README.md	How It Works	independent frozen-purpose judgment	176	repeated	project authority	False	True
/tfw-review	before	Purpose Check reread	.tfw/README.md	NS1 — Purpose	independent frozen-purpose judgment	91	repeated	project authority	False	True
/tfw-review	before	Purpose Check reread	.tfw/README.md	NS2 — Principles	independent frozen-purpose judgment	331	repeated	project authority	False	True
/tfw-review	before	Purpose Check reread	.tfw/README.md	NS3 — Non-goals	independent frozen-purpose judgment	92	repeated	project authority	False	True
/tfw-review	before	verification inputs	<selected status, journal, task artifacts, and P5-P7 sources>	@dynamic	claim map, evidence, and relevant values	0	once	task-local/named sources	True	False
/tfw-review	after	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-review	after	command dispatch	.agents/skills/tfw-review/SKILL.md	*	selected command contract	155	once	adapter	False	True
/tfw-review	after	canonical dispatch	.tfw/workflows/review.md	*	canonical command algorithm	1894	once	workflow	False	True
/tfw-review	after	workflow read contract	.tfw/project_config.yaml	@review-value-comment	verify claims, evidence, and citations independently	13	once	files/config/routing index/named PV sources	False	True
/tfw-review	after	workflow read contract	.tfw/glossary.md	Project Values (PV)	verify claims, evidence, and citations independently	243	once	files/config/routing index/named PV sources	False	True
/tfw-review	after	workflow read contract	.tfw/conventions.md	Task control files	verdict, citation bar, dispositions, routing, and trace effects	167	once	stage evidence/shared rule/template	False	True
/tfw-review	after	workflow read contract	.tfw/conventions.md	Artifact file naming	verdict, citation bar, dispositions, routing, and trace effects	554	repeated	stage evidence/shared rule/template	False	True
/tfw-review	after	workflow read contract	.tfw/conventions.md	Task Statuses	verdict, citation bar, dispositions, routing, and trace effects	1042	repeated	stage evidence/shared rule/template	False	True
/tfw-review	after	workflow read contract	.tfw/conventions.md	The 🔄 REVISE route	verdict, citation bar, dispositions, routing, and trace effects	431	repeated	stage evidence/shared rule/template	False	True
/tfw-review	after	workflow read contract	.tfw/conventions.md	Safety and Execution Honesty	verdict, citation bar, dispositions, routing, and trace effects	60	repeated	stage evidence/shared rule/template	False	True
/tfw-review	after	workflow read contract	.tfw/conventions.md	Trace Discipline	verdict, citation bar, dispositions, routing, and trace effects	138	repeated	stage evidence/shared rule/template	False	True
/tfw-review	after	workflow read contract	.tfw/conventions.md	Role Lock Protocol	verdict, citation bar, dispositions, routing, and trace effects	591	repeated	stage evidence/shared rule/template	False	True
/tfw-review	after	workflow read contract	.tfw/templates/REVIEW.md	*	verdict, citation bar, dispositions, routing, and trace effects	1158	once	stage evidence/shared rule/template	False	True
/tfw-review	after	review stage gate	.tfw/templates/review/map.md	*	review output form	159	once	template	False	True
/tfw-review	after	review stage gate	.tfw/templates/review/verify.md	*	review output form	714	once	template	False	True
/tfw-review	after	review stage gate	.tfw/templates/review/judge.md	*	review output form	1339	once	template	False	True
/tfw-review	after	independent P0-P4 scan	README.md	@preamble	verify implementation against project values	263	once	project authority	False	True
/tfw-review	after	independent P0-P4 scan	README.md	How It Works	verify implementation against project values	176	repeated	project authority	False	True
/tfw-review	after	independent P0-P4 scan	.tfw/README.md	NS1 — Purpose	verify implementation against project values	91	once	project authority	False	True
/tfw-review	after	independent P0-P4 scan	.tfw/README.md	NS2 — Principles	verify implementation against project values	331	repeated	project authority	False	True
/tfw-review	after	independent P0-P4 scan	.tfw/README.md	Methodology values	verify implementation against project values	181	repeated	project authority	False	True
/tfw-review	after	independent P0-P4 scan	.tfw/README.md	NS3 — Non-goals	verify implementation against project values	92	repeated	project authority	False	True
/tfw-review	after	independent P0-P4 scan	.tfw/README.md	Success Criteria	verify implementation against project values	126	repeated	project authority	False	True
/tfw-review	after	independent P0-P4 scan	knowledge/philosophy.md	*	verify implementation against project values	3134	once	project authority	False	True
/tfw-review	after	independent P0-P4 scan	KNOWLEDGE.md	Architecture Map	verify implementation against project values	8686	once	project authority	False	True
/tfw-review	after	independent P0-P4 scan	.tfw/conventions.md	HL (High Level)	verify implementation against project values	847	repeated	project authority	False	True
/tfw-review	after	independent P0-P4 scan	.tfw/conventions.md	Design Rules	verify implementation against project values	131	repeated	project authority	False	True
/tfw-review	after	independent P0-P4 scan	.tfw/conventions.md	Anti-patterns (prohibited)	verify implementation against project values	1058	repeated	project authority	False	True
/tfw-review	after	Purpose Check reread	README.md	@preamble	independent frozen-purpose judgment	263	repeated	project authority	False	True
/tfw-review	after	Purpose Check reread	README.md	How It Works	independent frozen-purpose judgment	176	repeated	project authority	False	True
/tfw-review	after	Purpose Check reread	.tfw/README.md	NS1 — Purpose	independent frozen-purpose judgment	91	repeated	project authority	False	True
/tfw-review	after	Purpose Check reread	.tfw/README.md	NS2 — Principles	independent frozen-purpose judgment	331	repeated	project authority	False	True
/tfw-review	after	Purpose Check reread	.tfw/README.md	NS3 — Non-goals	independent frozen-purpose judgment	92	repeated	project authority	False	True
/tfw-review	after	verification inputs	<selected status, journal, task artifacts, and P5-P7 sources>	@dynamic	claim map, evidence, and relevant values	0	once	task-local/named sources	True	False
